63	"De Stefani Perez, T."	1902	"De Stefani Perez, T. 1902. Osservazioni biologiche sopra un Braconide acquatico, Giardinaia urinator, e descrizione di due altri Imenotteri nuovi Zoologische Jahrbuecher Abteilung Fuer Systematik Oekologie und Geographie der Tiere 15:625-634"	"De Stefani Perez 1902"
64	"Delanoue, P. and Arambourg, Y."	1965	"Delanoue, P. and Arambourg, Y. 1965. Contribution a l'etude en laboratoire d'Eupelmus urozonus Dalm. (Hym. Chalcidoidea Eupelmidae) Annales de la Societe Entomologique de France 1:817-842"	"Delanoue and Arambourg 1965"
65	"Delanoue, P."	1964	"Delanoue, P. 1964b. Perspectives de lutte biologique contre Dacus oleae Gmel. au mayen de l'Hymenoptere Braconide Opius concolor Szepl. Informations Oleicoles Internationales (Madrid) 26:69-79"	"Delanoue 1964b"
66	"Delanoue, P."	1964	"Delanoue, P. 1964a. Consequences de la competition entre les chalcidiens indigenes et un braconide importe (Opius concolor Szepl.) dans les essais de limitation des populations de Dacus oleae Gmel. dans les Alpes-Maritimes Revue de Pathologie Vegetale et d'Entomologie Agricole de France 43:145-151"	"Delanoue 1964a"
67	"Delanoue, P."	1961	"Delanoue, P. 1961. Elevage artificiel permanent d'Opius concolor Szepl., parasite de Dacus oleae Gmel., sur Ceratitis capitata Wied. Informations Oleicoles Internationales (Madrid) 15:17-28"	"Delanoue 1961"
68	"Delanoue, P."	1960	"Delanoue, P. 1960b. Essai d'elevage artificiel permanent d'Opius concolor Szepl. sur un hote intermediare et lachers experimentaux de ce parasite de Dacus oleae Gmel. dans les Alpes-Maritimes Informations Oleicoles Internationales (Madrid) 10:1-15"	"Delanoue 1960b"
69	"Delanoue, P."	1960	"Delanoue, P. 1960a. Lachers experimentaux d'Opius concolor Szepl. parasite de Dacus oleae Gmel. dans les Alpes-Maritimes Comptes Rendus Hebdomadaires des Seances de l'Academie d'Agriculture de France 46:712-718"	"Delanoue 1960a"
70	"Decoux, L. and Roland, G."	1935	"Decoux, L. and Roland, G. 1935. Etude de la pegomye de la betterave en Belgique en 1934 Publications Techniques de l'Institut Belge pour l'Amelioration de la Betterave Tirlemont (Belgium) 3:121-130"	"Decoux and Roland 1935"
71	"Decoux, L. and Roland, G."	1934	"Decoux, L. and Roland, G. 1934b. Enquete internationle sur la pegomye de la betterave Publications Techniques de l'Institut Belge pour l'Amelioration de la Betterave Tirlemont (Belgium) 2:31-44"	"Decoux and Roland 1934b"
72	"Decoux, L. and Roland, G."	1934	"Decoux, L. and Roland, G. 1934a. Etude de la pegomye de la betterave in Belgique en 1933 Publications Techniques de l'Institut Belge pour l'Amelioration de la Betterave Tirlemont (Belgium) 2:139-165"	"Decoux and Roland 1934a"
73	"Delassus, M."	1924	"Delassus, M. 1924a. Les insectes ennemis de l'oivier en Algerie Revue Agricole de l'Afrique du Nord 22:135-139, 151-155"	"Delassus 1924a"
74	"Delassus, M."	1924	"Delassus, M. 1924b. La mouche de l'olive Revue Horticole Algerie 28:193-195"	"Delassus 1924b"
75	"Delucchi, V."	1957	"Delucchi, V. 1957. Les parasites de la mouche del olives Entomophaga 2:107-118"	"Delucchi 1957"
76	"Downes, W. and Andison, H."	1940	"Downes, W. and Andison, H. 1940. The establishment in British Columbia of parasites of the holly leaf miner, Phytomyza ilicis Curtis Journal of Economic Entomology 33:948-949"	"Downes and Andison 1940"
77	"Dresner, E."	1954	"Dresner, E. 1954. Observations on the biology and habits of pupal parasites of the Oriental fruit fly Proceedings of the Hawaiian Entomological Society 15:299-310"	"Dresner 1954"
78	"Ehrhorn, E. M."	1914	"Ehrhorn, E. M. 1914. Division of Entomology Hawaiian Forester and Agriculturist 11:355-357"	"Ehrhorn 1914"
79	"Ehrhorn, E. M."	1915	"Ehrhorn, E. M. 1915. Division of Entomology Hawaiian Forester and Agriculturist 12:13-16, 68-70, 215-216, 236-238, 278-281"	"Ehrhorn 1915"
80	"Ehrhorn, E. M. and Fullaway, D. T."	1915	"Ehrhorn, E. M. and Fullaway, D. T. 1915. Division of entomology Hawaiian Forester and Agriculturist 12:46-49"	"Ehrhorn and Fullaway 1915"
81	"Ehrhorn, E. M."	1916	"Ehrhorn, E. M. 1916. Division of Entomology Hawaiian Forester and Agriculturist 13:18-20, 43-45, 67-69, 104-106, 148-151, 195-202, 240-242,  243-246"	"Ehrhorn 1916"
82	"Enderlein, G."	1912	"Enderlein, G. 1912. H. Sauter's Formosa-Ausbeute. Braconidae, Proctotrupidae, and Evaniidae (Hym.) Entomologische Mitteilungen 1:257-267"	"Enderlein 1912"
83	"Fahringer, J."	1934	"Fahringer, J. 1934. Schwedisch-Chinesische wissenschaftliche Expedition nach den nordwestlichen Provinzen Chinas, unter Leitung von Dr. Sven Hedin und Prof. Sue Ping-chang. Insekten gesammelt von schwedischen Arzt der Expedition Dr. David Hummel 1927-1930 Arkiv fuer Zoologi 27A:1-15"	"Fahringer 1934 "
84	"Fahringer, J."	1943	"Fahringer, J. 1943. Eine neue Opius-Art aus Bulgarien (Hymenoptera: Braconidae) Arbeiten ueber morphologische und taxonomische Entomologie aus Berlin-Dahlem 10:31-32"	"Fahringer 1943"
85	"Favard, P."	1963	"Favard, P. 1963. Etat actuel de la lutte biologique contre la mouche de l'olive Informations Oleicoles Internationales (Madrid) 21:83-91"	"Favard 1963"
86	"Favard, P."	1964	"Favard, P. 1964. Remarques sur la lutte biologique contre la mouche de l'olive (Dacus oleae Gmel.) Informations Oleicoles Internationales (Madrid) 27:113-119"	"Favard 1964"
87	"Fenili, G. A. and Pegazzano, F."	1962	"Fenili, G. A. and Pegazzano, F. 1962. Esperimento di introduzione in Toscana di Opius siculus Monastero (=concolor Szepl.) parassita del Dacus oleae Gmel. Redia 47:173-187"	"Fenili and Pegazzano 1962"
88	"Fenili, G. A. and Pegazzano, F."	1965	"Fenili, G. A. and Pegazzano, F. 1965. Osservazioni compiute negli anni 1962-64 sulla presenza in Toscana di Opius concolor Szepl. (=siculus Monast.), imenottero braconide parassita del Dacus oleae Gmel. Redia 49:145-156"	"Fenili and Pegazzano 1965"
89	"Feron, M."	1952	"Feron, M. 1952. Observations sur le parasitisme de Ceratitis capitata Wied. dans le Sous Marocain Revue de Pathologie Vegetale et d'Entomologie Agricole de France 31:99-102"	"Feron 1952"
90	"Feron, M."	1954	"Feron, M. 1954. Le developpement et la pullulation de la mouche de l'olive, Dacus oleae Gmel., et son parasite Opius concolor Szepl. en Tunisie Revue de Pathologie Vegetale et d'Entomologie Agricole de France 33:3-31"	"Feron 1954"
91	"Feron, M.; Benard, R.; Poitout, S."	1961	"Feron, M.; Benard, R.; Poitout, S. 1961. La mouche d'olive, Dacus oleae Gmel. et ses parasites en corse, en 1959 et 1960 Entomophaga 6:173- 183"	"Feron et al. 1961"
92	"Fimiani, P."	1962	"Fimiani, P. 1962. L'Opius concolor Szepl., parassita endofago della mosca delle olive, rivenuto in Campanice nel 1961 Bollettino del Laboratorio di Entomologia Agraria Filippo Silvestri 20:293-300"	"Fimiani 1962"
93	"Foerster, A."	1862	"Foerster, A. 1862. Synopsis der Familien und Gattungen der Braconen Verhandlungen des Naturhistorischen Vereines Preussischen der Rheinlande und Westphalens 19:225-288"	"Foerster 1862"
94	"Frick, K. E.; Simkover, H. G.; Telford, H. S."	1954	"Frick, K. E.; Simkover, H. G.; Telford, H. S. 1954. Bionomics of the cherry fruit flies in eastern Washington Washington Agricultural Experiment Station Technical Bulletin 13:1-66"	"Frick et al. 1954"
95	"Froggatt, W. W."	1918	"Froggatt, W. W. 1918. Experimental work with fruit-flies Agricultural Gazette of New South Wales 29:579-580"	"Froggatt 1918"
96	"Frost, S. W."	1919	"Frost, S. W. 1919. Two species of Pegomyia mining the leaves of dock Journal of Agricultural Research 16:229-244"	"Frost 1919"
97	"Fullaway, D. T."	1916	"Fullaway, D. T. 1916b. Search for melon fly parasites Hawaiian Forester and Agriculturist 13:303-306"	"Fullaway 1916b"
98	"Fullaway, D. T."	1916	"Fullaway, D. T. 1916a. Report of the division of entomology Hawaiian Forester and Agriculturist 13:302-303, 339-341, 370, 401-402, 438-439"	"Fullaway 1916a"
99	"Fullaway, D. T."	1917	"Fullaway, D. T. 1917c. Division of entomology Hawaiian Forester and Agriculturist 14:11, 43, 69-70, 258-259, 285-286, 323-324, 356"	"Fullaway 1917c"
100	"Fullaway, D. T."	1917	"Fullaway, D. T. 1917b. Report on beneficial insects Report of the Board of Commissioners of Agriculture and Forestry of the Territory of Hawaii 1917:105-109"	"Fullaway 1917b "
101	"Fullaway, D. T."	1917	"Fullaway, D. T. 1917a. Division of entomology Hawaiian Forester and Agriculturist 14:154-155, 190-191, 216-218"	"Fullaway 1917a"
102	"Fullaway, D. T."	1918	"Fullaway, D. T. 1918. Division of entomology Hawaiian Forester and Agriculturist 15:7, 36, 64, 90-91, 157-159, 206-207, 235-236, 381-382, 408-409"	"Fullaway 1918"
103	"Fullaway, D. T."	1919	"Fullaway, D. T. 1919b. New genera and species of Braconidae, mostly Malayan Journal of the Straits Branch of the Royal Asiatic Society 80:39-59"	"Fullaway 1919b"
104	"Fullaway, D. T."	1919	"Fullaway, D. T. 1919a. Division of entomology Hawaiian Forester and Agriculturist 16:132-133"	"Fullaway 1919a"
105	"Fullaway, D. T."	1920	"Fullaway, D. T. 1920a. A new species of fruitfly parasite from Java (Hymenoptera) Proceedings of the Hawaiian Entomological Society 4:260-261"	"Fullaway 1920a"
106	"Fullaway, D. T."	1957	"Fullaway, D. T. 1957. A new reared Opius from Africa (Hymenoptera: Braconidae) Proceedings of the Entomological Society of Washington 59:98-99"	"Fullaway 1957"
107	"Fullaway, D. T."	1953	"Fullaway, D. T. 1953. New species and varieties of Opius (Hymenoptera, Braconidae) Proceedings of the Hawaiian Entomological Society 55:308-314"	"Fullaway 1953"
108	"Fullaway, D. T."	1952	"Fullaway, D. T. 1952. New species of Opius (Hymenoptera, Braconidae) Proceedings of the Hawaiian Entomological Society 14:411-413"	"Fullaway 1952"
109	"Fullaway, D. T."	1951	"Fullaway, D. T. 1951. Review of the Indo-Australasian parasites of the fruit flies (Tephritidae) Proceedings of the Hawaiian Entomological Society 14:243-250"	"Fullaway 1951"
110	"Fullaway, D. T."	1950	"Fullaway, D. T. 1950b. Fruit fly parasites collected in Queensland by N. L. H. Krauss in 1949. (Hymenoptera: Braconidae) Proceedings of the Hawaiian Entomological Society 14:65-67"	"Fullaway 1950b"
111	"Fullaway, D. T."	1949	"Fullaway, D. T. 1949. A new species of Opius from the Philippine Islands Proceedings of the Entomological Society of Washington 51:114-115"	"Fullaway 1949"
112	"Fullaway, D. T."	1936	"Fullaway, D. T. 1936a. Description of a new fruit fly parasite from Fiji Proceedings of the Hawaiian Entomological Society 9:179-180"	"Fullaway 1936a"
113	"Fullaway, D. T."	1926	"Fullaway, D. T. 1926b. Annual report for calendar year 1925 Hawaiian Forester and Agriculturist 23:45-48"	"Fullaway 1926b"
114	"Fullaway, D. T."	1926	"Fullaway, D. T. 1926a. A new species of fruit-fly parasite from Formosa Proceedings of the Hawaiian Entomological Society 6:283-284"	"Fullaway 1926a"
