411,"New Jersey",315,"U. S. A.","New Jersey","","",\N
412,"New Mexico",315,"U. S. A.","New Mexico","","",\N
413,"New York",315,"U. S. A.","New York","","",\N
414,"North Carolina",315,"U. S. A.","North Carolina","","",\N
415,"North Dakota",315,"U. S. A.","North Dakota","","",\N
416,"Ohio",315,"U. S. A.","Ohio","","",\N
417,"Oklahoma",315,"U. S. A.","Oklahoma","","",\N
418,"Oregon",315,"U. S. A.","Oregon","","",\N
419,"Pennsylvania",315,"U. S. A.","Pennsylvania","","",\N
420,"Rhode Island",315,"U. S. A.","Rhode Island","","",\N
421,"South Carolina",315,"U. S. A.","South Carolina","","",\N
422,"South Dakota",315,"U. S. A.","South Dakota","","",\N
423,"Tennessee",315,"U. S. A.","Tennessee","","",\N
424,"Texas",315,"U. S. A.","Texas","","",\N
425,"Utah",315,"U. S. A.","Utah","","",\N
426,"Vermont",315,"U. S. A.","Vermont","","",\N
427,"Virginia",315,"U. S. A.","Virginia","","",\N
428,"Washington",315,"U. S. A.","Washington","","",\N
429,"West Virginia",315,"U. S. A.","West Virginia","","",\N
430,"Wisconsin",315,"U. S. A.","Wisconsin","","",\N
431,"Wyoming",315,"U. S. A.","Wyoming","","",\N
499,"Aleutians East",34,"U. S. A.","Alaska","Aleutians East","",\N
500,"Aleutians West",316,"U. S. A.","Alaska","Aleutians West","",\N
501,"Anchorage",34,"U. S. A.","Alaska","Anchorage","",\N
502,"Bethel",316,"U. S. A.","Alaska","Bethel","",\N
503,"Bristol Bay",34,"U. S. A.","Alaska","Bristol Bay","",\N
504,"Dillingham",316,"U. S. A.","Alaska","Dillingham","",\N
505,"Fairbanks North Star",34,"U. S. A.","Alaska","Fairbanks North Star","",\N
506,"Haines",34,"U. S. A.","Alaska","Haines","",\N
507,"Juneau",34,"U. S. A.","Alaska","Juneau","",\N
508,"Kenai Peninsula",34,"U. S. A.","Alaska","Kenai Peninsula","",\N
509,"Ketchikan Gateway",34,"U. S. A.","Alaska","Ketchikan Gateway","",\N
510,"Kodiak Island",34,"U. S. A.","Alaska","Kodiak Island","",\N
511,"Lake and Peninsula",34,"U. S. A.","Alaska","Lake and Peninsula","",\N
512,"Matanuska-Susitna",34,"U. S. A.","Alaska","Matanuska-Susitna","",\N
513,"Nome",316,"U. S. A.","Alaska","Nome","",\N
514,"North Slope",34,"U. S. A.","Alaska","North Slope","",\N
515,"Northwest Arctic",34,"U. S. A.","Alaska","Northwest Arctic","",\N
516,"Prince of Wales-Outer Ket?",316,"U. S. A.","Alaska","Prince of Wales-Outer Ket?","",\N
517,"Sitka",34,"U. S. A.","Alaska","Sitka","",\N
518,"Skagway-Yakutat-Angoon",316,"U. S. A.","Alaska","Skagway-Yakutat-Angoon","",\N
519,"Southeast Fairbanks",316,"U. S. A.","Alaska","Southeast Fairbanks","",\N
520,"Valdez-Cordova",316,"U. S. A.","Alaska","Valdez-Cordova","",\N
521,"Wade Hampton",316,"U. S. A.","Alaska","Wade Hampton","",\N
522,"Wrangell-Petersburg",316,"U. S. A.","Alaska","Wrangell-Petersburg","",\N
523,"Yukon-Koyukuk",316,"U. S. A.","Alaska","Yukon-Koyukuk","",\N
745,"District of Columbia",316,"U. S. A.","District of Columbia","District of Columbia","",\N
1538,"Acadia",202,"U. S. A.","Louisiana","Acadia","",\N
1539,"Allen",202,"U. S. A.","Louisiana","Allen","",\N
1540,"Ascension",202,"U. S. A.","Louisiana","Ascension","",\N
1541,"Assumption",202,"U. S. A.","Louisiana","Assumption","",\N
1542,"Avoyelles",202,"U. S. A.","Louisiana","Avoyelles","",\N
1543,"Beauregard",202,"U. S. A.","Louisiana","Beauregard","",\N
1544,"Bienville",202,"U. S. A.","Louisiana","Bienville","",\N
1545,"Bossier",202,"U. S. A.","Louisiana","Bossier","",\N
1546,"Caddo",202,"U. S. A.","Louisiana","Caddo","",\N
1547,"Calcasieu",202,"U. S. A.","Louisiana","Calcasieu","",\N
1548,"Caldwell",202,"U. S. A.","Louisiana","Caldwell","",\N
1549,"Cameron",202,"U. S. A.","Louisiana","Cameron","",\N
1550,"Catahoula",202,"U. S. A.","Louisiana","Catahoula","",\N
1551,"Claiborne",202,"U. S. A.","Louisiana","Claiborne","",\N
1552,"Concordia",202,"U. S. A.","Louisiana","Concordia","",\N
1553,"De Soto",202,"U. S. A.","Louisiana","De Soto","",\N
1554,"East Baton Rouge",202,"U. S. A.","Louisiana","East Baton Rouge","",\N
1555,"East Carroll",202,"U. S. A.","Louisiana","East Carroll","",\N
1556,"East Feliciana",202,"U. S. A.","Louisiana","East Feliciana","",\N
1557,"Evangeline",202,"U. S. A.","Louisiana","Evangeline","",\N
1558,"Franklin",202,"U. S. A.","Louisiana","Franklin","",\N
1559,"Grant",202,"U. S. A.","Louisiana","Grant","",\N
1560,"Iberia",202,"U. S. A.","Louisiana","Iberia","",\N
1561,"Iberville",202,"U. S. A.","Louisiana","Iberville","",\N
1562,"Jackson",202,"U. S. A.","Louisiana","Jackson","",\N
1563,"Jefferson",202,"U. S. A.","Louisiana","Jefferson","",\N
1564,"Jefferson Davis",202,"U. S. A.","Louisiana","Jefferson Davis","",\N
1565,"Lafayette",202,"U. S. A.","Louisiana","Lafayette","",\N
1566,"Lafourche",202,"U. S. A.","Louisiana","Lafourche","",\N
1567,"La Salle",202,"U. S. A.","Louisiana","La Salle","",\N
1568,"Lincoln",202,"U. S. A.","Louisiana","Lincoln","",\N
1569,"Livingston",202,"U. S. A.","Louisiana","Livingston","",\N
1570,"Madison",202,"U. S. A.","Louisiana","Madison","",\N
1571,"Morehouse",202,"U. S. A.","Louisiana","Morehouse","",\N
1572,"Natchitoches",202,"U. S. A.","Louisiana","Natchitoches","",\N
1573,"Orleans",202,"U. S. A.","Louisiana","Orleans","",\N
1574,"Ouachita",202,"U. S. A.","Louisiana","Ouachita","",\N
1575,"Plaquemines",202,"U. S. A.","Louisiana","Plaquemines","",\N
1576,"Pointe Coupee",202,"U. S. A.","Louisiana","Pointe Coupee","",\N
1577,"Rapides",202,"U. S. A.","Louisiana","Rapides","",\N
1578,"Red River",202,"U. S. A.","Louisiana","Red River","",\N
1579,"Richland",202,"U. S. A.","Louisiana","Richland","",\N
1580,"Sabine",202,"U. S. A.","Louisiana","Sabine","",\N
1581,"St. Bernard",202,"U. S. A.","Louisiana","St. Bernard","",\N
1582,"St. Charles",202,"U. S. A.","Louisiana","St. Charles","",\N
1583,"St. Helena",202,"U. S. A.","Louisiana","St. Helena","",\N
1584,"St. James",202,"U. S. A.","Louisiana","St. James","",\N
1585,"St. John the Baptist",202,"U. S. A.","Louisiana","St. John the Baptist","",\N
1586,"St. Landry",202,"U. S. A.","Louisiana","St. Landry","",\N
1587,"St. Martin",202,"U. S. A.","Louisiana","St. Martin","",\N
1588,"St. Mary",202,"U. S. A.","Louisiana","St. Mary","",\N
1589,"St. Tammany",202,"U. S. A.","Louisiana","St. Tammany","",\N
1590,"Tangipahoa",202,"U. S. A.","Louisiana","Tangipahoa","",\N
1591,"Tensas",202,"U. S. A.","Louisiana","Tensas","",\N
1592,"Terrebonne",202,"U. S. A.","Louisiana","Terrebonne","",\N
1593,"Union",202,"U. S. A.","Louisiana","Union","",\N
1594,"Vermilion",202,"U. S. A.","Louisiana","Vermilion","",\N
1595,"Vernon",202,"U. S. A.","Louisiana","Vernon","",\N
1597,"Webster",202,"U. S. A.","Louisiana","Webster","",\N
1598,"West Baton Rouge",202,"U. S. A.","Louisiana","West Baton Rouge","",\N
1599,"West Carroll",202,"U. S. A.","Louisiana","West Carroll","",\N
1600,"West Feliciana",202,"U. S. A.","Louisiana","West Feliciana","",\N
1601,"Winn",202,"U. S. A.","Louisiana","Winn","",\N
1641,"Baltimore (City)",317,"U. S. A.","Maryland","Baltimore (City)","",\N
2022,"St. Louis City",317,"U. S. A.","Missouri","St. Louis City","",\N
